Group,Distribution,Chi_Squared_Stat,Chi_Squared_p,KS_Stat,KS_p,Params
16,lognorm,15.16740874254377,0.018993860356894543,0.02510014453086762,0.9104881132338284,"(0.32817502780718266, -12.922072500307637, 117.30642459373817)"
16,loglogistic,16.16925737959982,0.01287375811789282,0.035434524843584336,0.5601880966280494,"(4.739093611176308, -0.7085110792311591, 104.94500472291132)"
16,pearson3,16.297739958255164,0.012242031440784285,0.028458267222379208,0.8133260416726593,"(0.9128977804489757, 110.86069663010012, 41.40049757176082)"
17,gamma,4.9440214687717585,0.5510126297573299,0.05747072832333694,0.7062875029977174,"(7.301441100292088, 54.62199150046254, 18.887474381669474)"
17,weibull,8.36666467381516,0.21245210831167471,0.07407909766336532,0.38920846475800885,"(2.0750698196176343, 89.81822115566, 115.79936238955185)"
17,normal,26.5883542411145,0.0003951753843417505,0.09188229260368763,0.1651386678007749,"(192.52777777777777, 51.53382713816404)"
17,lognorm,4.338074420356208,0.6310273679330585,0.05401968759555595,0.7739956703450006,"(0.2605863601632275, -0.46911892497291463, 186.53572058806662)"
17,loglogistic,2.748793423979646,0.8396506440010713,0.03366617995016255,0.9950469202880509,"(6.869345518309538, -0.48747685538486396, 186.6640617932244)"
17,pearson3,4.944018359341012,0.5510130307542571,0.0574705751785517,0.7062905734257625,"(0.7401598863593762, 192.52780927072126, 51.03620384743465)"
18,gamma,11.274315751431093,0.0802594568120989,0.04990317758927515,0.5977872683405505,"(3.6397168685448977, 6.672717576926221, 55.79181762614472)"
18,weibull,11.494313567902328,0.07424885098225753,0.05285956445660167,0.5241296804984028,"(1.8565804187339976, 24.300128097300846, 208.9699129171102)"
18,normal,37.91064273683339,3.1510283989844012e-06,0.0940750574495875,0.031909386633825476,"(209.7391304347826, 104.11111012479778)"
18,lognorm,12.908039742047404,0.044519749390944385,0.051760882539979514,0.5511414646028725,"(0.3774645612151732, -66.33425743537198, 257.37426205487736)"
18,loglogistic,18.257144170702666,0.0056207057846761055,0.06254179352640782,0.31612461179913076,"(3.2328220376507755, -0.48636030299706867, 189.0123125236625)"
18,pearson3,11.274323982311751,0.08025922383159845,0.04990317833620933,0.5977872493949385,"(1.0483252236963758, 209.73912326096882, 106.43981959745804)"
